tweet_id,text_is_represented,image_adds,image_adds_text_repr,image_adds_text_notrepr,image_notadds_text_repr,image_notadds_text_notrepr,,,
698197155698184192,0,0,0,0,0,1,,,
749760621688680448,0,0,0,0,0,1,,,
745103435532427264,1,1,1,0,0,0,,,
689161440901607424,1,0,0,0,1,0,,,
682734696447520768,1,0,0,0,1,0,,,
793131612502306817,0,1,0,1,0,0,,,
716928384794816512,0,1,0,1,0,0,,,
690553390821199872,0,0,0,0,0,1,,,
690548512723861505,0,0,0,0,0,1,,,
746931087947882496,0,0,0,0,0,1,,,
686279215763750912,0,0,0,0,0,1,,,
748542562718388225,0,0,0,0,0,1,,,
692143654266343424,0,1,0,1,0,0,,,
686239925788872706,0,1,0,1,0,0,,,
782261266593247232,1,1,1,0,0,0,,,
693229307766923264,1,0,0,0,1,0,,,
696549601193558016,0,1,0,1,0,0,,,
684196870286127104,0,1,0,1,0,0,,,
787012037926723584,0,0,0,0,0,1,,,
683334034286460928,1,1,1,0,0,0,,,
691799942566920194,1,1,1,0,0,0,,,
756741802397356032,0,0,0,0,0,1,,,
687610281615355905,0,0,0,0,0,1,,,
748933674985455616,1,0,0,0,1,0,,,
689569669062127617,1,1,1,0,0,0,,,
731988241109291008,1,0,0,0,1,0,,,
720061474899566592,1,1,1,0,0,0,,,
723987588655149056,1,0,0,0,1,0,,,
742653850226720768,1,1,1,0,0,0,,,
727920752515670017,1,0,0,0,1,0,,,
775862225886150656,0,0,0,0,0,1,,,
685741370644934656,1,0,0,0,1,0,,,
699430065185099777,0,1,0,1,0,0,,,
699037246121451520,1,0,0,0,1,0,,,
803992893128142848,1,1,1,0,0,0,,,
712315393306546177,0,1,0,1,0,0,,,
702408882208030720,1,1,1,0,0,0,,,
728701496213143552,0,0,0,0,0,1,,,
702087279880310784,0,0,0,0,0,1,,,
684762120638996481,0,1,0,1,0,0,,,
734575208892338176,0,0,0,0,0,1,,,
683510024535171072,0,0,0,0,0,1,,,
808451241697153025,0,0,0,0,0,1,,,
796141093834330112,0,1,0,1,0,0,,,
704013466265321472,0,0,0,0,0,1,,,
732944598167912448,0,1,0,1,0,0,,,
696477141798617088,0,1,0,1,0,0,,,
699388132001607681,1,1,1,0,0,0,,,
726637284066390016,1,0,0,0,1,0,,,
704009361597841408,1,1,1,0,0,0,,,
692338607093325825,0,0,0,0,0,1,,,
777258033265029120,1,1,1,0,0,0,,,
788047162940747776,1,1,1,0,0,0,,,
784156897980981248,0,0,0,0,0,1,,,
696105179020591104,0,0,0,0,0,1,,,
713953173489057792,1,1,1,0,0,0,,,
718495097269030912,0,1,0,1,0,0,,,
699450409228701698,0,0,0,0,0,1,,,
728250219654217733,1,0,0,0,1,0,,,
811660937631592449,0,1,0,1,0,0,,,
694706536111853568,0,1,0,1,0,0,,,
760521997126209538,0,0,0,0,0,1,,,
753014168668602368,1,0,0,0,1,0,,,
738716100620222468,0,1,0,1,0,0,,,
720083418633994240,0,1,0,1,0,0,,,
687318263290802178,0,1,0,1,0,0,,,
683762557895733248,1,1,1,0,0,0,,,
690193424566321152,1,0,0,0,1,0,,,
685961187591352320,0,1,0,1,0,0,,,
720038851557756928,1,1,1,0,0,0,,,
709082577647362049,0,0,0,0,0,1,,,
704727700276031489,0,1,0,1,0,0,,,
684881890730348544,1,0,0,0,1,0,,,
729895949875564544,1,0,0,0,1,0,,,
706246558229123072,1,1,1,0,0,0,,,
738996164876345344,0,1,0,1,0,0,,,
682713431930200064,0,1,0,1,0,0,,,
686454899458969600,1,0,0,0,1,0,,,
6.92094E+17,1,0,0,0,1,0,,,
780042059835117569,0,0,0,0,0,1,,,
747821766630727680,1,1,1,0,0,0,,,
713000848704536577,1,0,0,0,1,0,,,
686033118189465600,0,1,0,1,0,0,,,
734456409815797761,1,0,0,0,1,0,,,
682797338314838016,0,0,0,0,0,1,,,
726131537524211713,1,1,1,0,0,0,,,
747227712369135616,0,1,0,1,0,0,,,
745088952596570114,0,0,0,0,0,1,,,
685569150819827712,0,1,0,1,0,0,,,
686929255767359488,0,0,0,0,0,1,,,
738062824690188288,1,1,1,0,0,0,,,
743297434185457668,0,0,0,0,0,1,,,
708305621075042304,0,0,0,0,0,1,,,
688173569302380546,0,0,0,0,0,1,,,
785317588955901952,0,0,0,0,0,1,,,
785952444492746756,0,0,0,0,0,1,,,
719185012545859584,0,1,0,1,0,0,,,
731674096711258112,1,1,1,0,0,0,,,
709895294305984512,0,1,0,1,0,0,,,
768997162730553344,0,0,0,0,0,1,,,
698283217112199168,1,0,0,0,1,0,,,
689431982514700289,1,1,1,0,0,0,,,
688464894694428672,0,0,0,0,0,1,,,
683449032300171264,0,0,0,0,0,1,,,
696888618833612801,1,1,1,0,0,0,,,
736444252507516928,0,0,0,0,0,1,,,
796095601888948224,1,1,1,0,0,0,,,
721028911866519553,1,0,0,0,1,0,,,
682714467797495808,0,1,0,1,0,0,,,
740287854908035072,1,0,0,0,1,0,,,
687830174633693184,1,1,1,0,0,0,,,
699247486993432576,0,1,0,1,0,0,,,
685875656350130176,1,0,0,0,1,0,,,
685804935196323840,0,0,0,0,0,1,,,
687860926314201088,1,0,0,0,1,0,,,
709123360182112256,0,0,0,0,0,1,,,
709800516524515328,1,0,0,0,1,0,,,
691405933058994177,0,0,0,0,0,1,,,
727543607847067648,0,0,0,0,0,1,,,
682781846850134018,0,1,0,1,0,0,,,
716541030930247680,1,0,0,0,1,0,,,
688563748706082816,1,1,1,0,0,0,,,
782709803311206400,0,1,0,1,0,0,,,
685617226733375488,0,0,0,0,0,1,,,
705323149173329920,1,0,0,0,1,0,,,
751159685542215680,0,0,0,0,0,1,,,
682760522823929856,0,0,0,0,0,1,,,
796122648501714945,1,1,1,0,0,0,,,
737621938122657792,1,0,0,0,1,0,,,
694696210049953793,0,0,0,0,0,1,,,
725102255595225088,1,1,1,0,0,0,,,
683560030281555968,0,0,0,0,0,1,,,
689867680627589120,0,1,0,1,0,0,,,
690684019684610048,1,0,0,0,1,0,,,
722482462245277696,1,0,0,0,1,0,,,
717056645285683201,0,1,0,1,0,0,,,
682720236601122816,0,1,0,1,0,0,,,
709560090559430656,1,0,0,0,1,0,,,
799106725462740992,0,1,0,1,0,0,,,
778450948452528129,1,1,1,0,0,0,,,
699745800310648832,0,1,0,1,0,0,,,
685498771938107393,1,0,0,0,1,0,,,
708523352210718720,0,0,0,0,0,1,,,
684579894483906560,1,0,0,0,1,0,,,
757652988626407424,0,0,0,0,0,1,,,
732237826146865152,1,0,0,0,1,0,,,
789114409318699008,0,0,0,0,0,1,,,
761700680679718912,0,1,0,1,0,0,,,
693311027241291776,1,1,1,0,0,0,,,
700076463979110401,0,0,0,0,0,1,,,
780587547395182592,1,1,1,0,0,0,,,
780502819111510016,0,0,0,0,0,1,,,
735538780564652032,0,0,0,0,0,1,,,
683384564581011456,1,0,0,0,1,0,,,
791778354684948480,0,0,0,0,0,1,,,
727900891592843265,0,0,0,0,0,1,,,
684391919653384192,1,1,1,0,0,0,,,
783642449625255940,0,0,0,0,0,1,,,
693894027708645377,0,0,0,0,0,1,,,
753320730079682560,0,0,0,0,0,1,,,
695652006657044480,1,1,1,0,0,0,,,
692372023264333824,1,1,1,0,0,0,,,
703482046870519808,0,1,0,1,0,0,,,
699464946896101377,1,1,1,0,0,0,,,
701285168938508288,1,1,1,0,0,0,,,
691444916883451904,1,0,0,0,1,0,,,
685213725658341376,0,1,0,1,0,0,,,
692444225192005632,1,1,1,0,0,0,,,
684450166598963200,1,1,1,0,0,0,,,
686042893455372289,0,1,0,1,0,0,,,
807541196369358852,0,1,0,1,0,0,,,
691703106778693632,1,0,0,0,1,0,,,
683437398328356864,0,0,0,0,0,1,,,
703410845909319682,0,1,0,1,0,0,,,
709145508695019520,1,1,1,0,0,0,,,
773951152341868546,0,0,0,0,0,1,,,
693928107900846081,1,0,0,0,1,0,,,
685603382459957248,0,0,0,0,0,1,,,
763497238689615872,0,1,0,1,0,0,,,
772262995455979521,0,0,0,0,0,1,,,
686683434194964484,0,1,0,1,0,0,,,
682967473109495808,0,0,0,0,0,1,,,
718607600611295234,1,1,1,0,0,0,,,
739256561315500032,0,0,0,0,0,1,,,
732652564831952897,1,0,0,0,1,0,,,
683154252433375232,0,1,0,1,0,0,,,
775838373038743552,0,0,0,0,0,1,,,
685487839472173056,0,0,0,0,0,1,,,
812192917020213248,0,1,0,1,0,0,,,
780582232675217408,0,0,0,0,0,1,,,
689890956745641991,0,0,0,0,0,1,,,
703730930259591169,0,0,0,0,0,1,,,
691778053593305090,1,1,1,0,0,0,,,
684782759605321733,0,1,0,1,0,0,,,
737820469768785921,1,0,0,0,1,0,,,
735530975535333376,1,1,1,0,0,0,,,
791389034824118272,0,1,0,1,0,0,,,
692934803855904768,1,1,1,0,0,0,,,
739457832832147457,0,1,0,1,0,0,,,
692087761298440193,0,1,0,1,0,0,,,
684187347286659072,0,0,0,0,0,1,,,
712464736298749953,1,1,1,0,0,0,,,
683351790490787841,0,0,0,0,0,1,,,
702342941961015297,0,0,0,0,0,1,,,
698540544012627969,1,1,1,0,0,0,,,
709937942710636544,0,1,0,1,0,0,,,
802693256727273472,0,0,0,0,0,1,,,
732029891592392704,0,1,0,1,0,0,,,
701231399165042688,0,0,0,0,0,1,,,
788119439057137664,0,1,0,1,0,0,,,
762764555961372672,0,1,0,1,0,0,,,
695558146492887041,0,0,0,0,0,1,,,
6.84104E+17,1,1,1,0,0,0,,,
683057408860528640,0,1,0,1,0,0,,,
733751358055055362,0,0,0,0,0,1,,,
729064901898022914,0,0,0,0,0,1,,,
703702950351273984,1,0,0,0,1,0,,,
686300729108246528,0,0,0,0,0,1,,,
717078984954028037,0,1,0,1,0,0,,,
683435278690816001,1,0,0,0,1,0,,,
688179616796684288,0,1,0,1,0,0,,,
685265478277840896,0,1,0,1,0,0,,,
688818781280428034,0,0,0,0,0,1,,,
718692931780026371,0,1,0,1,0,0,,,
751536338348847104,1,1,1,0,0,0,,,
807275034964357120,0,0,0,0,0,1,,,
685607097267011584,0,1,0,1,0,0,,,
685217531720675329,0,1,0,1,0,0,,,
708511624987086849,1,0,0,0,1,0,,,
695375085784289280,0,1,0,1,0,0,,,
682788785680072705,1,1,1,0,0,0,,,
734435555430146049,0,0,0,0,0,1,,,
6.83086E+17,0,0,0,0,0,1,,,
694263189404520448,1,1,1,0,0,0,,,
756166251332771843,0,0,0,0,0,1,,,
702709359927754752,1,0,0,0,1,0,,,
723200410656247810,"we are gathered here today to get through this thing called 'life.'\""  #RIPPrince https://t.co/hkmBrhxdmu""",1,1,1,0,0,0,,
702567543010107392,0,1,0,1,0,0,,,
687460390410690560,1,0,0,0,1,0,,,
712333966179770368,0,1,0,1,0,0,,,
708460933111271424,0,0,0,0,0,1,,,
697577679910862850,1,1,1,0,0,0,,,
737372412853911552,1,0,0,0,1,0,,,
709210869960409091,0,1,0,1,0,0,,,
717463283205169156,1,0,0,0,1,0,,,
683154681367928832,0,0,0,0,0,1,,,
691778351476903938,1,1,1,0,0,0,,,
705594938751324160,0,0,0,0,0,1,,,
692584004193800192,1,0,0,0,1,0,,,
689581039740653569,1,1,1,0,0,0,,,
718427808465358852,1,0,0,0,1,0,,,
697862889881866242,0,1,0,1,0,0,,,
695067596362657792,1,1,1,0,0,0,,,
688605223074566144,0,0,0,0,0,1,,,
690178220914704384,0,0,0,0,0,1,,,
722891880136990722,1,0,0,0,1,0,,,
684766184747757572,0,0,0,0,0,1,,,
725385125010243585,0,0,0,0,0,1,,,
691401901712228352,1,0,0,0,1,0,,,
708885236239769600,0,0,0,0,0,1,,,
684449330812551169,1,0,0,0,1,0,,,
720298912813191168,0,0,0,0,0,1,,,
