"tweet_id","user_id","tweet","text_is_represented","image_adds","image_adds_text_repr","image_adds_text_notrepr","image_notadds_text_repr","image_notadds_text_notrepr"
"698197155698184192","540310244","happy birthday ily @victoriaIeigh https://t.co/K86xqfc3g3","0","0","0","0","0","1"
"749760621688680448","2881317355","@ChuckB63 Just chillin with Lando at my feet... https://t.co/S4CDWGS4lm","0","0","0","0","0","1"
"745103435532427264","1372476151","RT @eRewardsUS: Happy Flag Day! https://t.co/boWxoYrqVn","1","1","1","0","0","0"
"689161440901607424","23521579","This is my \"I am so done with everything\" face https://t.co/SzKzjNalqc","1","0","0","0","1","0"
"682734696447520768","457116812","RT @AlabamaFTBL: And we're underway #CottonBowl #RollTide #Cfbplayoff https://t.co/1kuxCPBxcP","1","0","0","0","1","0"
"793131612502306817","277250373","@vouule made me think of you 😂 https://t.co/jYleIz16ay","0","1","0","1","0","0"
"716928384794816512","125120336","RT @darkobird: watching the end of the #TWDFinale like https://t.co/ZIew5AA0MY","0","1","0","1","0","0"
"690553390821199872","74148207","MT ICYMI: @JenniferBrandel & @Miranda_July talked about news and feelings for @Transom_org  https://t.co/tCaWuhJaUg https://t.co/wfhcryyVVz","0","0","0","0","0","1"
"690548512723861505","3242578086","@AndreaLibman Happy #FluttershyFriday! Have a thing I drew https://t.co/fqxSxZhXYz","0","0","0","0","0","1"
"746931087947882496","522588604","RT @Infinite7Facts: [PIC] 160626 Myungsoo's Instagram Update  \"Hello\" https://t.co/AFd3t3ip42 https://t.co/Ufp4f9dWYo","0","0","0","0","0","1"
"686279215763750912","523608771","I suddenly thought…what if Orf met BB-8…? So I had to make this happen. #friendroids4lyfe #roosterteeth #starwars https://t.co/zWbVSaaZCi","0","0","0","0","0","1"
"748542562718388225","18498215","@johnhoford And here I am https://t.co/rh7pyg1lZU","0","0","0","0","0","1"
"692143654266343424","3931792572","tag who you are im HD FIRST LOOK (tm) https://t.co/Z5i1DD98o1","0","1","0","1","0","0"
"686239925788872706","425375189","RT @InsideCheer: Hands up for Cheer Fusion Onyx! #iCRoadTrip16 #CDEXTREME https://t.co/J0rmAFgFEh","0","1","0","1","0","0"
"782261266593247232","891386358","@jbouie Looks kind of like... Hannibal, no? https://t.co/mNaGofqTXn","1","1","1","0","0","0"
"693229307766923264","625035702","Thanks for the follow @Wartune_Online ! Here's a #timehop2015 from me and my Guildies! https://t.co/mjQauhun02","1","0","0","0","1","0"
"696549601193558016","2281653608","RT @Sillyrunner: My daily struggle. #veganprobs http://t.co/8BpxwgQB5J","0","1","0","1","0","0"
"684196870286127104","3452337083","RT @FreakyTheory: Good advice ❥ https://t.co/X3RVdQabY4","0","1","0","1","0","0"
"787012037926723584","113993356","RT @dose: This is the first levitating turntable! https://t.co/WG466wjLmU","0","0","0","0","0","1"
"683334034286460928","2395495076","Thank you Twitter for giving me the balloons I've ever had on a birthday🎈 https://t.co/nNXC9V3k0Z","1","1","1","0","0","0"
"691799942566920194","460647298","Still funny #timehop https://t.co/bbKbV00cbl","1","1","1","0","0","0"
"756741802397356032","1368758322","@kittykatkelso Ahem, there are three types of people https://t.co/dXA2TzWmO3","0","0","0","0","0","1"
"687610281615355905","2900740656","OMG #HappyMallStory! My ID: aQ6nC43yNs @HappyHappyLabs https://t.co/J7oY7FJD5C","0","0","0","0","0","1"
"748933674985455616","2740287716","@TexasCatMom Bunny loves your ear fuzzies, nose & chin! https://t.co/fhdCRpyrxT","1","0","0","0","1","0"
"689569669062127617","1330258434","Feedback Q & A https://t.co/glvZnoAlTq https://t.co/gVGYkqoPiC","1","1","1","0","0","0"
"731988241109291008","377685390","RT @SACHERO07: , the knowledge of how Women can dominate and brainwash men is not a big secret. https://t.co/VkPwVTbvjz","1","0","0","0","1","0"
"720061474899566592","17304440","Finally! I've been waiting to crack this open all day since I got the delivery confirmation #Hamiltome https://t.co/1hKKduRddl","1","1","1","0","0","0"
"723987588655149056","135655082","come and hang out with me and my buddy @HisLadyOfRivas for some Never Alone! https://t.co/jcjGnOwjaT #HakoniaHype https://t.co/ixTITZ0cs7","1","0","0","0","1","0"
"742653850226720768","4122722476","RT @TheOfficePosts: Every of the time https://t.co/qd7leL44HO","1","1","1","0","0","0"
